tweet,candidate,label
"Compared to SJBs economy policy surely NPP doesnt have proper and clear one. NPP economy team hasnt spoke out much in this election campaigns,they should explain thre economic policy. Feels like NPP is scared to expose thre economy team to public.",Anura Kumara Dissanayake,0
"Voting RW means letting SP win, it’s simple as that!
AKD is a thosand times better than SP!",Anura Kumara Dissanayake,1
"We had a good past.
Don't get fooled by AKD's words.
He is a product of second class  uni. in Sr Lanka.
If you do not like the people in Parliament. Get rid of them when Parliament election comes.",Anura Kumara Dissanayake,0
AK Dissanayake (NPP) is projected to win the upcoming election.,Anura Kumara Dissanayake,1
So JVP PM is Gona be tilvin? What a disaster it will be 🤦 hadunethi as finance minister who thinks Cuba is great and now this guy as PM. Think twice chaps. @sajithpremadasa has the ground support and the best team. Don't break the vote and complain later #SriLanka #lka,Anura Kumara Dissanayake,0
"Big shifts in voting intent in the first half of 2024: President Ranil Wickremesinghe saw a significant rise in support, doubling from 13% to 22%. Meanwhile, support for NPP’s Anura Dissanayake, SJB’s Sajith Premadasa, and the SLPP dropped by 7%, 1%, and 5%, respectively.",Anura Kumara Dissanayake,0
"Anura Kumara Dissanayake, Wasantha Samarasinghe, and others from NPP claim to have files proving corruption but refuse to hand them over to authorities or reveal the details to the public. Now, these “anti-corruption” champions are tangled in a massive fraud scandal themselves.",Anura Kumara Dissanayake,0
"“I would like to ask Anura Kumara Dissanayake, who is responsible for the violence that took place at the Sri Jayewardenepura campus? Are you planning to implement such a political culture?” Sajith questions AKD.",Anura Kumara Dissanayake,0
"Anura Kumara Dissanayake in London expressed regret over the killings for which JVP was responsible ( Sunday Observer 1 Jun 2014 ) The JVP which has a notorious track record killed more Buddhist monks than the LTTE. In 1989, it killed 24 senior monks ( Daily Mirror 28 Feb 2024 )",Anura Kumara Dissanayake,0
"We’ve had our fair share of debates and arguments with MP Anura Kumara Dissanayake. We’ve clashed many times. But he has never stooped to such third-rate insults like some of his followers are doing now. Honestly, they’re not hurting us—they’re sabotaging him. 
Here’s a post from a follower of MP Anura Kumara Dissanayake that said, “When Pina took over the country, the total foreign debt was 71 billion dollars. Now it’s 100.”
Our country’s total foreign debt is 37 billion dollars. But this person is falsely claiming it is 71 billion. And they are saying that over the past two years, our debt has increased to 100 billion dollars. But after declaring we couldn’t pay our debt, everyone knows that no country has given us any loans. No country has the legal right to lend us money.
So, what is the purpose of spreading these lies? Are your followers trying to bring your party to power one day through lies?",Anura Kumara Dissanayake,0
"The JVP, including Anura Kumara Dissanayake, resigned from the government in 2005 because the JVP opposed the government's decision to distribute tsunami relief aid to Sri Lankan Tamil citizens living in LTTE-controlled areas",Anura Kumara Dissanayake,0
Anura kumara dissanayake backed up from #China . #Chinese are pushing Anura Kumara on #SocialMedia. ❤️ Reactions have been around for a long time.,Anura Kumara Dissanayake,1
"NPP government is ready to bring in a foreign investor to manage Sri Lanka Telecom
NPP is against selling #SriLanka Telecom, however they will have to bring in a foreign investor to manage it -Anura Kumara Dissanayake
-Daily Mirror",Anura Kumara Dissanayake,1
"As a presidential candidate, if Anura Kumara Dissanayake is intimidating the Tamils in the North on how they should vote, I wonder what he would do if elected President?
Strange tone from a man who said he wants to ""wipe out racism."" ",Anura Kumara Dissanayake,0
"Another empty election promise by Anura Kumara Dissanayake. Send SMS updates on how taxpayers’ money is spent is a logistical nightmare of tracking every rupee spent, categorising it, and spending billions of tax money on those including sending millions of SMS messages. This would be a colossal waste of resources ironically funded by taxpayers’ money. Anura Kumara should think about implementing real fiscal transparency measures. But then again President Ranil Wickremesinghe has already started working on that with the Public Financial Management Bill and the Economic Transformation Bill.
",Anura Kumara Dissanayake,0
"For anyone new to #SriLanka politics and interested in knowing more about the leading presidential candidates, @sarojpathi's profile of the #JVP and #NPP leader Anura Kumara Dissanayake is an excellent resource.",Anura Kumara Dissanayake,1
